Traffic Violation,Traffic Violation Count,Week
accident,0,1
accident,0,2
accident,0,3
accident,0,4
accident,0,5
accident,0,6
accident,0,7
accident,0,8
accident,0,9
accident,0,10
accident,0,11
accident,0,12
accident,0,13
accident,0,14
accident,0,15
accident,0,16
accident,0,17
accident,0,18
accident,0,19
accident,0,20
accident,0,21
accident,0,22
accident,0,23
accident,0,24
accident,0,25
accident,0,26
accident,0,27
accident,0,28
accident,0,29
accident,0,30
accident,0,31
accident,0,32
accident,0,33
accident,0,34
accident,0,35
accident,0,36
accident,0,37
accident,0,38
accident,0,39
accident,0,40
accident,0,41
accident,0,42
accident,0,43
accident,0,44
accident,0,45
accident,0,46
accident,0,47
accident,0,48
accident,0,49
accident,0,50
accident,0,51
accident,0,52
belts,164,1
belts,216,2
belts,70,3
belts,65,4
belts,152,5
belts,171,6
belts,196,7
belts,170,8
belts,118,9
belts,201,10
belts,154,11
belts,91,12
belts,146,13
belts,112,14
belts,161,15
belts,155,16
belts,173,17
belts,155,18
belts,88,19
belts,145,20
belts,192,21
belts,174,22
belts,165,23
belts,273,24
belts,112,25
belts,133,26
belts,90,27
belts,206,28
belts,152,29
belts,133,30
belts,79,31
belts,166,32
belts,94,33
belts,105,34
belts,179,35
belts,122,36
belts,133,37
belts,182,38
belts,101,39
belts,145,40
belts,122,41
belts,136,42
belts,147,43
belts,134,44
belts,128,45
belts,94,46
belts,152,47
belts,139,48
belts,161,49
belts,138,50
belts,139,51
belts,61,52
personal_injury,27,1
personal_injury,49,2
personal_injury,41,3
personal_injury,12,4
personal_injury,33,5
personal_injury,28,6
personal_injury,27,7
personal_injury,29,8
personal_injury,46,9
personal_injury,35,10
personal_injury,76,11
personal_injury,58,12
personal_injury,65,13
personal_injury,31,14
personal_injury,42,15
personal_injury,29,16
personal_injury,48,17
personal_injury,54,18
personal_injury,55,19
personal_injury,63,20
personal_injury,40,21
personal_injury,37,22
personal_injury,62,23
personal_injury,55,24
personal_injury,26,25
personal_injury,38,26
personal_injury,51,27
personal_injury,38,28
personal_injury,64,29
personal_injury,18,30
personal_injury,59,31
personal_injury,46,32
personal_injury,39,33
personal_injury,49,34
personal_injury,35,35
personal_injury,29,36
personal_injury,57,37
personal_injury,63,38
personal_injury,64,39
personal_injury,66,40
personal_injury,87,41
personal_injury,80,42
personal_injury,78,43
personal_injury,66,44
personal_injury,29,45
personal_injury,31,46
personal_injury,46,47
personal_injury,59,48
personal_injury,45,49
personal_injury,40,50
personal_injury,44,51
personal_injury,29,52
property_damage,32,1
property_damage,53,2
property_damage,99,3
property_damage,25,4
property_damage,101,5
property_damage,78,6
property_damage,46,7
property_damage,54,8
property_damage,53,9
property_damage,29,10
property_damage,61,11
property_damage,51,12
property_damage,91,13
property_damage,74,14
property_damage,67,15
property_damage,75,16
property_damage,92,17
property_damage,64,18
